YEAR,WOOD_SUPPLIER_TRASE_ID,WOOD_SUPPLIER_CORPORATE_GROUP,WOOD_SUPPLIER,WOOD_SUPPLIER_PROVINCE,WOOD_SUPPLIER_ISLAND,MILL_CORPORATE_GROUP,MILL,WOOD_SOURCE,PULPWOOD_VOLUME_M3
2015,ID-WOOD-CONCESSION-0448,SINAR MAS,PT SATRIA PERKASA AGUNG (SK 102),RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"251579,44"
2015,ID-WOOD-CONCESSION-0449,SINAR MAS,PT SATRIA PERKASA AGUNG (SK 19),RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"271159,21"
2015,ID-WOOD-CONCESSION-0449,SINAR MAS,PT SATRIA PERKASA AGUNG (SK 19),RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"18949,53"
2015,ID-WOOD-CONCESSION-0428,SINAR MAS,PT SBA WOOD INDUSTRIES,SUMATERA SELATAN,SUMATRA,SINAR MAS,LONTAR PAPYRUS,PLANTATION,"237849,79"
2015,ID-WOOD-CONCESSION-0428,SINAR MAS,PT SBA WOOD INDUSTRIES,SUMATERA SELATAN,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"194182,17"
2015,ID-WOOD-CONCESSION-0481,SINAR MAS,PT SEKATO PRATAMA MAKMUR,RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"628154,85"
2015,ID-WOOD-CONCESSION-0472,ROYAL GOLDEN EAGLE,PT SELARAS ABADI UTAMA,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"529830,48"
2015,ID-WOOD-CONCESSION-0457,UNKNOWN AFFILIATION,PT SERAYA SUMBER LESTARI,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"264305,83"
2015,ID-WOOD-CONCESSION-0461,ROYAL GOLDEN EAGLE,PT SUMATERA RIANG LESTARI,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"796933,51"
2015,ID-WOOD-CONCESSION-0461,ROYAL GOLDEN EAGLE,PT SUMATERA RIANG LESTARI,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"549687,79"
2015,ID-WOOD-CONCESSION-0461,ROYAL GOLDEN EAGLE,PT SUMATERA RIANG LESTARI,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"469688,48"
2015,ID-WOOD-CONCESSION-0461,ROYAL GOLDEN EAGLE,PT SUMATERA RIANG LESTARI,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"420290,33"
